Name,Time,Site,Depth,Transect,Coral_Cover,Rock_Cover,Sand_Cover,Species,count,sum
Dinka,1,C,10,B,0,80,20,Acanthurus nigrofuscus,1,1
Dinka,1,C,10,B,0,80,20,Aluterus scriptus,1,2
Dinka,1,C,10,B,0,80,20,Amblyglyphidodon leucogaster,1,1
Dinka,1,C,10,B,0,80,20,Amphiprion bicinctus,2,3
Dinka,1,C,10,B,0,80,20,Bodianus anthioides,2,3
Dinka,1,C,10,B,0,80,20,Caesio spp.,1,0
Dinka,1,C,10,B,0,80,20,Chaetodon auriga,1,2
Dinka,1,C,10,B,0,80,20,Chaetodon paucifasciatus,2,3
Dinka,1,C,10,B,0,80,20,Dascyllus marginatus,2,26
Dinka,1,C,10,B,0,80,20,Epinephelus fasciatus,1,1
Dinka,1,C,10,B,0,80,20,Gomphosus caeruleus,1,2
Dinka,1,C,10,B,0,80,20,Paracheilinus octotaenia,5,42
Dinka,1,C,10,B,0,80,20,Pomacanthus imperator,1,1
Dinka,1,C,10,B,0,80,20,Pomacentrus trichrourus,6,25
Dinka,1,C,10,B,0,80,20,Pseudanthias squamipinnis,3,50
Dinka,1,C,10,B,0,80,20,Pseudochromis spp.,1,1
Dinka,1,C,10,B,0,80,20,Scaridae spp.,3,7
Dinka,1,C,10,B,0,80,20,Sufflamen albicaudatum,1,1
Dinka,1,C,10,B,0,80,20,Thalassoma rueppellii,2,2
Dinka,1,C,10,B,0,80,20,Zebrasoma xanthurum,2,4
Dinka,1,S,10,A,0,100,0,Acanthurus nigrofuscus,3,3
Dinka,1,S,10,A,0,100,0,Amphiprion bicinctus,1,1
Dinka,1,S,10,A,0,100,0,Bodianus anthioides,3,3
Dinka,1,S,10,A,0,100,0,Cephalopholis hemistiktos,1,1
Dinka,1,S,10,A,0,100,0,Cephalopholis miniata,1,1
Dinka,1,S,10,A,0,100,0,Chaetodon paucifasciatus,2,4
Dinka,1,S,10,A,0,100,0,Cheilinus trilobatus,1,1
Dinka,1,S,10,A,0,100,0,Chromis dimidiata,2,2
Dinka,1,S,10,A,0,100,0,Chromis viridis,1,1
Dinka,1,S,10,A,0,100,0,Coris aygula,1,1
Dinka,1,S,10,A,0,100,0,Dascyllus aruanus,2,4
Dinka,1,S,10,A,0,100,0,Dascyllus marginatus,7,39
Dinka,1,S,10,A,0,100,0,Ecsenius gravieri,1,2
Dinka,1,S,10,A,0,100,0,Epinephelus fasciatus,2,2
Dinka,1,S,10,A,0,100,0,Goat fish,2,2
Dinka,1,S,10,A,0,100,0,Larabicus quadrilineatus,1,1
Dinka,1,S,10,A,0,100,0,Paracheilinus octotaenia,1,20
Dinka,1,S,10,A,0,100,0,Pinguipedidae spp.,1,1
Dinka,1,S,10,A,0,100,0,Plagiotremus spp.,1,1
Dinka,1,S,10,A,0,100,0,Pomacentrus trichrourus,4,41
Dinka,1,S,10,A,0,100,0,Pseudanthias squamipinnis,7,83
Dinka,1,S,10,A,0,100,0,Pseudocheilinus hexataenia,1,1
Dinka,1,S,10,A,0,100,0,Pseudochromis spp.,3,3
Dinka,1,S,10,A,0,100,0,Rhinecanthus assasi,1,1
Dinka,1,S,10,A,0,100,0,Scaridae spp.,1,1
Dinka,1,S,10,A,0,100,0,Siganus spp.,1,1
Dinka,1,S,10,A,0,100,0,Synodontidae spp.,1,1
Dinka,1,S,10,A,0,100,0,Thalassoma rueppellii,5,5
Dinka,1,S,10,A,0,100,0,Zebrasoma xanthurum,1,1
Dinka,1,S,10,A,0,100,0,"Zebrasoma xanthurum 
",2,3
Dinka,2,C,10,B,0,80,20,Acanthurus nigrofuscus,1,1
Dinka,2,C,10,B,0,80,20,Apogon spp.,1,2
Dinka,2,C,10,B,0,80,20,Centropyge multispinis,1,1
Dinka,2,C,10,B,0,80,20,Chromis dimidiata,2,6
Dinka,2,C,10,B,0,80,20,Ecsenius gravieri,1,1
Dinka,2,C,10,B,0,80,20,Goat fish,2,5
Dinka,2,C,10,B,0,80,20,Larabicus quadrilineatus,1,2
Dinka,2,C,10,B,0,80,20,Ostracion cubicus,1,1
Dinka,2,C,10,B,0,80,20,Pseudochromis spp.,2,3
Dinka,2,C,10,B,0,80,20,Siganus spp.,2,3
Dinka,2,C,10,B,0,80,20,Syngnathidae spp.,2,4
Dinka,2,C,10,B,0,80,20,Thalassoma lunare,2,2
Dinka,2,C,10,B,0,80,20,Zebrasoma xanthurum,1,2
Zoe,1,C,2,A,50,50,0,Arothron spp.,1,2
Zoe,1,C,2,A,50,50,0,Bodianus axillaris,1,1
Zoe,1,C,2,A,50,50,0,Cephalopholis argus,1,1
Zoe,1,C,2,A,50,50,0,Chaetodon fasciatus,1,1
Zoe,1,C,2,A,50,50,0,Chaetodon paucifasciatus,2,4
Zoe,1,C,2,A,50,50,0,Chaetodon trifascialis,1,1
Zoe,1,C,2,A,50,50,0,Chromis viridis,2,30
Zoe,1,C,2,A,50,50,0,Coris aygula,1,1
Zoe,1,C,2,A,50,50,0,Ctenochaetus striatus,3,9
Zoe,1,C,2,A,50,50,0,Dascyllus marginatus,3,7
Zoe,1,C,2,A,50,50,0,Ecsenius gravieri,1,1
Zoe,1,C,2,A,50,50,0,Epinephelus fasciatus,3,3
Zoe,1,C,2,A,50,50,0,Goat fish,1,1
Zoe,1,C,2,A,50,50,0,Gomphosus caeruleus,2,3
Zoe,1,C,2,A,50,50,0,Lethrinus spp,1,1
Zoe,1,C,2,A,50,50,0,Muraenidae spp.,1,1
Zoe,1,C,2,A,50,50,0,Ostracion cyanurus,1,1
Zoe,1,C,2,A,50,50,0,Plagiotremus spp.,3,4
Zoe,1,C,2,A,50,50,0,Pomacentrus trichrourus,3,6
Zoe,1,C,2,A,50,50,0,Pseudochromis spp.,1,1
Zoe,1,C,2,A,50,50,0,Scaridae spp.,1,2
Zoe,1,C,2,A,50,50,0,Siganus spp.,1,1
Zoe,1,C,2,A,50,50,0,Sufflamen albicaudatum,1,1
Zoe,1,C,2,A,50,50,0,Thalassoma rueppellii,2,2
Zoe,1,C,2,A,50,50,0,Variola louti,1,1
Zoe,1,C,2,A,50,50,0,Zebrasoma xanthurum,3,9
Zoe,1,N,2,A,30,66,0,Acanthurus nigrofuscus,1,2
Zoe,1,N,2,A,30,66,0,Amphiprion bicinctus,1,1
Zoe,1,N,2,A,30,66,0,Chaetodon fasciatus,1,1
Zoe,1,N,2,A,30,66,0,Cheilinus trilobatus,1,1
Zoe,1,N,2,A,30,66,0,Ctenochaetus striatus,3,14
Zoe,1,N,2,A,30,66,0,Plagiotremus spp.,1,3
Zoe,1,N,2,A,30,66,0,Scaridae spp.,2,2
Zoe,1,N,2,A,30,66,0,Siganus spp.,1,1
Zoe,1,N,2,A,30,66,0,Thalassoma rueppellii,1,1
Zoe,1,N,2,A,30,66,0,Zebrasoma xanthurum,4,7
Zoe,1,N,2,B,50,50,0,Abudefduf spp.,1,10
Zoe,1,N,2,B,50,50,0,Acanthurus nigrofuscus,1,1
Zoe,1,N,2,B,50,50,0,Chaetodon paucifasciatus,1,2
Zoe,1,N,2,B,50,50,0,Ctenochaetus striatus,2,3
Zoe,1,N,2,B,50,50,0,Epinephelus fasciatus,1,1
Zoe,1,N,2,B,50,50,0,Goat fish,1,1
Zoe,1,N,2,B,50,50,0,Pomacentrus trichrourus,1,1
Zoe,1,N,2,B,50,50,0,Siganus spp.,2,18
Zoe,1,N,2,B,50,50,0,Thalassoma rueppellii,5,7
Zoe,1,N,2,B,50,50,0,Zebrasoma xanthurum,2,5
Zoe,2,S,2,A,60,0,40,Acanthurus nigrofuscus,1,1
Zoe,2,S,2,A,60,0,40,Amphiprion bicinctus,1,2
Zoe,2,S,2,A,60,0,40,Chaetodon paucifasciatus,4,4
Zoe,2,S,2,A,60,0,40,Chromis dimidiata,1,2
Zoe,2,S,2,A,60,0,40,Chromis viridis,2,65
Zoe,2,S,2,A,60,0,40,Ctenochaetus striatus,1,1
Zoe,2,S,2,A,60,0,40,Dascyllus marginatus,5,55
Zoe,2,S,2,A,60,0,40,Epinephelus fasciatus,2,2
Zoe,2,S,2,A,60,0,40,Goat fish,4,6
Zoe,2,S,2,A,60,0,40,Gomphosus caeruleus,1,1
Zoe,2,S,2,A,60,0,40,Larabicus quadrilineatus,1,1
Zoe,2,S,2,A,60,0,40,Lethrinus spp,1,1
Zoe,2,S,2,A,60,0,40,Pomacentrus trichrourus,3,7
Zoe,2,S,2,A,60,0,40,Pseudochromis spp.,1,1
Zoe,2,S,2,A,60,0,40,Sufflamen albicaudatum,1,1
Zoe,2,S,2,A,60,0,40,Thalassoma lunare,1,1
Zoe,2,S,2,A,60,0,40,Thalassoma rueppellii,1,2
Zoe,2,S,2,A,60,0,40,Zebrasoma veliferum,2,2
Zoe,2,S,2,A,60,0,40,Zebrasoma xanthurum,2,2
Zoe,2,S,2,B,40,20,20,Abudefduf spp.,1,1
Zoe,2,S,2,B,40,20,20,Arothron spp.,1,1
Zoe,2,S,2,B,40,20,20,Centropyge multispinis,1,1
Zoe,2,S,2,B,40,20,20,Chaetodon fasciatus,2,3
Zoe,2,S,2,B,40,20,20,Chaetodon paucifasciatus,1,2
Zoe,2,S,2,B,40,20,20,Cheilinus lunulatus,1,1
Zoe,2,S,2,B,40,20,20,Chromis viridis,3,70
Zoe,2,S,2,B,40,20,20,Coris aygula,1,1
Zoe,2,S,2,B,40,20,20,Ctenochaetus striatus,1,2
Zoe,2,S,2,B,40,20,20,Dascyllus marginatus,6,75
Zoe,2,S,2,B,40,20,20,Epinephelus fasciatus,2,2
Zoe,2,S,2,B,40,20,20,Goat fish,2,4
Zoe,2,S,2,B,40,20,20,Lethrinus spp,1,1
Zoe,2,S,2,B,40,20,20,Ostracion cyanurus,1,1
Zoe,2,S,2,B,40,20,20,Pomacentrus trichrourus,2,4
Zoe,2,S,2,B,40,20,20,Pseudanthias squamipinnis,2,13
Zoe,2,S,2,B,40,20,20,Pseudochromis spp.,2,3
Zoe,2,S,2,B,40,20,20,Rhinecanthus assasi,1,1
Zoe,2,S,2,B,40,20,20,Scaridae spp.,2,2
Zoe,2,S,2,B,40,20,20,Siganus spp.,1,3
Zoe,2,S,2,B,40,20,20,Sphyraena barracuda,1,1
